state,year,month,total_cases,total_deaths,,
Nevada,2020,4,97660,4029,,
Nevada,2020,5,213197,10678,,
Nevada,2020,6,365782,14008,,
Nevada,2020,7,1014765,19854,,
Nevada,2020,8,419707,7035,,
New Hampshire,2020,1,0,0,,
New Hampshire,2020,2,0,0,,
New Hampshire,2020,3,2232,17,,
New Hampshire,2020,4,36795,1009,,
New Hampshire,2020,5,109009,5085,,
New Hampshire,2020,6,159771,9573,,
New Hampshire,2020,7,190987,12246,,
New Hampshire,2020,8,53658,3343,,
New Jersey,2020,1,0,0,,
New Jersey,2020,2,0,0,,
New Jersey,2020,3,92534,1165,,
New Jersey,2020,4,2186635,102708,,
New Jersey,2020,5,4470485,308935,,
New Jersey,2020,6,5021309,388821,,
New Jersey,2020,7,5527664,482461,,
New Jersey,2020,8,1480393,126789,,
New Mexico,2020,1,0,0,,
New Mexico,2020,2,0,0,,
New Mexico,2020,3,1989,16,,
New Mexico,2020,4,49429,1472,,
New Mexico,2020,5,177992,7739,,
New Mexico,2020,6,298314,13155,,
New Mexico,2020,7,504146,17513,,
New Mexico,2020,8,171701,5310,,
New York,2020,1,0,0,,
New York,2020,2,0,0,,
New York,2020,3,464981,7943,,
New York,2020,4,6328973,425198,,
New York,2020,5,10850463,854088,,
New York,2020,6,11656829,918476,,
New York,2020,7,12690287,995461,,
New York,2020,8,3381307,259067,,
North Carolina,2020,1,0,0,,
North Carolina,2020,2,0,0,,
North Carolina,2020,3,8617,32,,
North Carolina,2020,4,168317,4804,,
North Carolina,2020,5,573602,20390,,
North Carolina,2020,6,1381977,34879,,
North Carolina,2020,7,2910360,50375,,
North Carolina,2020,8,1033617,16581,,
North Dakota,2020,1,0,0,,
North Dakota,2020,2,0,0,,
North Dakota,2020,3,787,9,,
North Dakota,2020,4,14825,296,,
North Dakota,2020,5,57787,1330,,
North Dakota,2020,6,93310,2366,,
North Dakota,2020,7,149692,2956,,
North Dakota,2020,8,56081,891,,
Northern Mariana Islands,2020,1,0,0,,
Northern Mariana Islands,2020,2,0,0,,
Northern Mariana Islands,2020,3,8,0,,
Northern Mariana Islands,2020,4,355,54,,
Northern Mariana Islands,2020,5,589,62,,
Northern Mariana Islands,2020,6,862,60,,
Northern Mariana Islands,2020,7,1100,62,,
Northern Mariana Islands,2020,8,369,16,,
Ohio,2020,1,0,0,,
Ohio,2020,2,0,0,,
Ohio,2020,3,12114,219,,
Ohio,2020,4,287164,12517,,
Ohio,2020,5,847509,49709,,
Ohio,2020,6,1279993,77119,,
Ohio,2020,7,2204116,97128,,
Ohio,2020,8,766607,28687,,
Oklahoma,2020,1,0,0,,
Oklahoma,2020,2,0,0,,
Oklahoma,2020,3,3069,101,,
Oklahoma,2020,4,67883,3692,,
Oklahoma,2020,5,160500,8877,,
Oklahoma,2020,6,277672,10849,,
Oklahoma,2020,7,738132,13870,,
Oklahoma,2020,8,321199,4595,,
Oregon,2020,1,0,0,,
Oregon,2020,2,2,0,,
Oregon,2020,3,4621,129,,
Oregon,2020,4,50484,1829,,
Oregon,2020,5,108485,4161,,
Oregon,2020,6,184416,5420,,
Oregon,2020,7,421377,7946,,
Oregon,2020,8,158907,2724,,
Pennsylvania,2020,1,0,0,,
Pennsylvania,2020,2,0,0,,
Pennsylvania,2020,3,23859,268,,
Pennsylvania,2020,4,822697,30595,,
Pennsylvania,2020,5,1994490,134081,,
Pennsylvania,2020,6,2516170,188226,,
Pennsylvania,2020,7,3210520,217270,,
Pennsylvania,2020,8,960738,58498,,
Puerto Rico,2020,1,0,0,,
Puerto Rico,2020,2,0,0,,
Puerto Rico,2020,3,995,35,,
Puerto Rico,2020,4,28004,1450,,
Puerto Rico,2020,5,81768,3633,,
Puerto Rico,2020,6,174784,4380,,
Puerto Rico,2020,7,353563,5485,,
Puerto Rico,2020,8,156093,1965,,
Rhode Island,2020,1,0,0,,
Rhode Island,2020,2,0,0,,
Rhode Island,2020,3,2570,17,,
Rhode Island,2020,4,119603,3459,,
Rhode Island,2020,5,381262,15471,,
Rhode Island,2020,6,481310,25484,,
Rhode Island,2020,7,549884,30536,,
Rhode Island,2020,8,155248,8089,,
South Carolina,2020,1,0,0,,
South Carolina,2020,2,0,0,,
South Carolina,2020,3,6329,127,,
South Carolina,2020,4,113247,3284,,
South Carolina,2020,5,269994,11736,,
South Carolina,2020,6,636483,18424,,
South Carolina,2020,7,1978230,35108,,
South Carolina,2020,8,759476,14974,,
South Dakota,2020,1,0,0,,
South Dakota,2020,2,0,0,,
South Dakota,2020,3,711,22,,
South Dakota,2020,4,36231,211,,
South Dakota,2020,5,118915,1278,,
South Dakota,2020,6,177958,2282,,
South Dakota,2020,7,240095,3471,,
South Dakota,2020,8,73210,1108,,
Tennessee,2020,1,0,0,,
Tennessee,2020,2,0,0,,
Tennessee,2020,3,12360,59,,
Tennessee,2020,4,187332,3741,,
Tennessee,2020,5,536423,8850,,
Tennessee,2020,6,956724,14450,,
Tennessee,2020,7,2204796,24839,,
Tennessee,2020,8,888300,8990,,
Texas,2020,1,0,0,,
Texas,2020,2,91,0,,
Texas,2020,3,20623,270,,
Texas,2020,4,494349,12274,,
Texas,2020,5,1463433,40047,,
Texas,2020,6,3090759,62054,,
Texas,2020,7,9495262,126671,,
Texas,2020,8,3802748,64735,,
Utah,2020,1,0,0,,
Utah,2020,2,5,0,,
Utah,2020,3,5562,20,,
Utah,2020,4,82277,722,,
Utah,2020,5,221484,2472,,
Utah,2020,6,464269,4294,,
Utah,2020,7,988673,7305,,
Utah,2020,8,338379,2601,,
Vermont,2020,1,0,0,,
Vermont,2020,2,0,0,,
Vermont,2020,3,1850,93,,
Vermont,2020,4,21158,958,,
Vermont,2020,5,29029,1651,,
Vermont,2020,6,33551,1663,,
Vermont,2020,7,41004,1738,,
Vermont,2020,8,11488,459,,
Virgin Islands,2020,1,0,0,,
Virgin Islands,2020,2,0,0,,
Virgin Islands,2020,3,230,0,,
Virgin Islands,2020,4,1530,60,,
Virgin Islands,2020,5,2122,167,,
Virgin Islands,2020,6,2250,180,,
Virgin Islands,2020,7,7748,199,,
Virgin Islands,2020,8,3823,68,,
Virginia,2020,1,0,0,,
Virginia,2020,2,0,0,,
Virginia,2020,3,6976,162,,
Virginia,2020,4,223907,7019,,
Virginia,2020,5,925411,30685,,
Virginia,2020,6,1644315,47056,,
Virginia,2020,7,2330822,61641,,
Virginia,2020,8,757927,18107,,
Washington,2020,1,11,0,,
Washington,2020,2,60,1,,
Washington,2020,3,46214,2377,,
Washington,2020,4,327552,16938,,
Washington,2020,5,594493,30824,,
Washington,2020,6,845988,36893,,
Washington,2020,7,1439080,46109,,
Washington,2020,8,496421,13664,,
West Virginia,2020,1,0,0,,
West Virginia,2020,2,0,0,,
West Virginia,2020,3,866,3,,
West Virginia,2020,4,21315,515,,
West Virginia,2020,5,47442,1951,,
West Virginia,2020,6,71793,2613,,
West Virginia,2020,7,145677,3101,,
West Virginia,2020,8,57045,980,,
Wisconsin,2020,1,0,0,,
Wisconsin,2020,2,25,0,,
Wisconsin,2020,3,9353,135,,
Wisconsin,2020,4,118741,5402,,
Wisconsin,2020,5,385579,13922,,
Wisconsin,2020,6,758785,21236,,
Wisconsin,2020,7,1357567,26417,,
Wisconsin,2020,8,487661,7816,,
Wyoming,2020,1,0,0,,
Wyoming,2020,2,0,0,,
Wyoming,2020,3,776,0,,
Wyoming,2020,4,10987,82,,
Wyoming,2020,5,22780,300,,
Wyoming,2020,6,33714,555,,
Wyoming,2020,7,63980,710,,
Wyoming,2020,8,23203,216,,
